Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
AARTIIND,147,638.25,1030.95,151549.65,57726.7,61.53,3.68
ABBOTINDIA,7,16562.82,18325,128275,12335.25,10.64,-2.19
ALKYLAMINE,15,3663.82,3651,54765,-192.35,-0.35,-1.8
ASIANPAINT,69,2397.17,3576.3,246764.7,81359.65,49.19,1.75
ASTRAL,66,1669.08,2436.5,160809,50649.65,45.98,0.84
ATUL,15,7337.99,9254.4,138816,28746.2,26.12,0.99
BAJAJFINSV,30,5411.57,17756.9,532707,370360.05,228.13,-1.28
BAJFINANCE,67,3118.66,7659.35,513176.45,304226,145.6,-1.15
BERGEPAINT,140,722.12,790.4,110656,9559.65,9.46,1.19
CAMS,31,2981.36,2804.65,86944.15,-5478.05,-5.93,0.75
DABUR,153,533.77,587.3,89856.9,8190.2,10.03,0.78
DEEPAKNTR,80,1244.04,2533.4,202672,103149.1,103.64,-0.03
DIVISLAB,23,4854.65,4516.7,103884.1,-7772.95,-6.96,0.61
DMART,16,4773.88,4731.35,75701.6,-680.4,-0.89,0.55
HAPPSTMNDS,103,768.77,1300,133900,54717.05,69.1,0.07
HAVELLS,79,1105.36,1368.4,108103.6,20780.15,23.8,-1.29
HCLTECH,78,1042.6,1291.05,100701.9,19379.15,23.83,0.45
HDFC,84,1971.92,2596.9,218139.6,52498.65,31.69,-0.98
HDFCAMC,36,2398,2440.75,87867,1539.15,1.78,-0.39
HDFCBANK,141,1226.97,1550.4,218606.4,45604.05,26.36,0.68
HDFCLIFE,207,633.34,660.15,136651.05,5550.35,4.23,2.04
HINDUNILVR,94,2178.61,2416.5,227151,22361.4,10.92,1
ICICIBANK,188,448.7,793.35,149149.8,64793.7,76.81,1.06
IGL,207,404.1,468.5,96979.5,13331.35,15.94,0.82
INDIAMART,12,7620.2,6683.8,80205.6,-11236.75,-12.29,1.74
INFY,66,1409.86,1813.15,119667.9,26617.3,28.61,-0.28
JUBLFOOD,21,3668.43,3763.45,79032.45,1995.45,2.59,5.13
KOTAKBANK,79,1562.56,1903.55,150380.45,26938.3,21.82,0.61
MARICO,200,418.14,504.25,100850,17221.35,20.59,0.39
MARUTI,14,6098.79,7906,110684,25300.95,29.63,0.3
MINDAIND,62,565.7,1226.95,76070.9,40997.6,116.89,5.25
MUTHOOTFIN,86,1307.1,1526.4,131270.4,18860.2,16.78,-0.48
NAUKRI,26,5099.59,5629.95,146378.7,13789.45,10.4,1.05
NAVINFLUOR,35,2617.68,3992.2,139727,48108.3,52.51,-1.29
NESTLEIND,7,17281.68,19902.85,139319.95,18348.2,15.17,1.3
PIDILITIND,100,1781.75,2722.55,272255,94080.45,52.8,2.88
PIIND,44,2359.77,2949.7,129786.8,25956.8,25,-0.19
POLYCAB,77,1326.49,2477.3,190752.1,88612.4,86.76,1.53
PRINCEPIPE,120,678.63,690.55,82866,1430.45,1.76,-1.22
RELAXO,166,816.42,1349.3,223983.8,88458.2,65.27,0.11
RELIANCE,84,1651.84,2435.95,204619.8,65865.05,47.47,0.8
SBILIFE,60,1004.83,1217.4,73044,12754.1,21.15,0.98
SRF,80,1233.82,2504.95,200396,101690.7,103.02,3.92
SUMICHEM,151,378.77,388,58588,1393.8,2.44,0.79
SUPREMEIND,44,2094.44,2188.55,96296.2,4140.75,4.49,-0.76
TATACONSUM,116,693.82,736.8,85468.8,4986,6.2,1.52
TATAPOWER,270,104.34,229.8,62046,33874.65,120.25,0.59
TCS,47,2987.26,3853.5,181114.5,40713.05,29,1.21
TITAN,39,1398.87,2572.8,100339.2,45783.3,83.92,-0.92
VBL,137,653.2,851.3,116628.1,27139.15,30.33,1.18
VINATIORGA,59,1215.16,2103.9,124130.1,52435.7,73.14,1.8
VOLTAS,69,762.77,1271.35,87723.15,35091.85,66.67,1.72
WHIRLPOOL,30,2111.97,1839.55,55186.5,-8172.55,-12.9,3.32
